priority,equipment_id,equipment_category,finding,evidence,recommended_action,responsible_role,target_date,status
LOW,RS 02,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=81.0, data_completeness=19.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,RS 06,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=146.6 L vs median kategori 32.5 L (rasio 4.51x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,RS 06,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,RS 25,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=160.8 L vs median kategori 32.5 L (rasio 4.94x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,RS 25,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=69.0, data_completeness=31.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,SL 03,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,SL 04,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=78.6 L vs median kategori 32.5 L (rasio 2.42x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,SL 04,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,SL 05,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=74.3 L vs median kategori 32.5 L (rasio 2.29x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,SL 05,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,SL 10,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=76.8 L vs median kategori 32.5 L (rasio 2.36x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,SL 10,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=100.0, data_completeness=0.0%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
LOW,SL 11,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=78.5 L vs median kategori 32.5 L (rasio 2.41x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,SL 24,SUPPORT,Rata-rata konsumsi per pengisian jauh di atas median unit sejenis.,average_daily_fuel=74.8 L vs median kategori 32.5 L (rasio 2.30x),"Bandingkan jam operasi, trip, idle time, dan hour meter dengan unit sejenis.",Operations Admin,2026-08-22,OPEN
LOW,SL 24,SUPPORT,Terdapat jeda panjang tanpa transaksi solar di tengah masa aktif unit.,"missing_data_penalty=54.8, data_completeness=45.2%","Cek kemungkinan duplikasi transaksi / konfirmasi status alat (aktif, dipindah, atau nonaktif).",Operations Admin,2026-08-22,OPEN
